model,experiment,horizon,router,train_time_sec,inference_time_sec,MAE,RMSE,sMAPE,MSLE,P99_abs_error
GRU-LSTM,GRU_raw,1,atlanta,0.8849160671234131,0.0015127658843994,159844288.0,204681508.09112456,76.3388900756836,2.117163181304932,508624032.0
GRU-LSTM,GRU_raw,6,atlanta,0.8849160671234131,0.0015127658843994,299954656.0,388557168.52108496,96.37242126464844,4.605117321014404,1000872896.0
GRU-LSTM,GRU_raw,12,atlanta,0.8849160671234131,0.0015127658843994,282796096.0,386162559.312989,101.22415161132812,5.239340782165527,1024142720.0
GRU-LSTM,GRU_raw,24,atlanta,0.8849160671234131,0.0015127658843994,274011072.0,324225740.87617904,120.90975952148438,7.549352169036865,763519872.0
GRU-LSTM,GRU_mask_out,1,atlanta,0.6030373573303223,0.0014879703521728,165274912.0,205500655.3298321,77.32661437988281,2.082327365875244,565101120.0
GRU-LSTM,GRU_mask_out,6,atlanta,0.6030373573303223,0.0014879703521728,254445456.0,348125800.86452824,92.35418701171876,4.247036457061768,1014403008.0
GRU-LSTM,GRU_mask_out,12,atlanta,0.6030373573303223,0.0014879703521728,210547040.0,305581233.8142563,91.73311614990234,17.610715866088867,850902784.0
GRU-LSTM,GRU_mask_out,24,atlanta,0.6030373573303223,0.0014879703521728,313478176.0,403014323.3804948,121.84973907470705,8.029518127441406,1073387392.0
GRU-LSTM,GRU_score_as_feature,1,atlanta,0.653698205947876,0.0015454292297363,204581248.0,255972835.7218009,82.62808227539062,3.11460828781128,545905344.0
GRU-LSTM,GRU_score_as_feature,6,atlanta,0.653698205947876,0.0015454292297363,244025360.0,331891036.9999646,88.97286987304688,4.151183605194092,839169664.0
GRU-LSTM,GRU_score_as_feature,12,atlanta,0.653698205947876,0.0015454292297363,274989760.0,375035679.3801089,101.2945327758789,5.226940155029297,1007275328.0
GRU-LSTM,GRU_score_as_feature,24,atlanta,0.653698205947876,0.0015454292297363,391323520.0,446883424.5853847,126.6108856201172,9.904052734375,935659328.0
GRU-LSTM,GRU_both,1,atlanta,0.6656274795532227,0.0015482902526855,203915680.0,257644138.2432518,82.15957641601562,3.09264874458313,531707168.0
GRU-LSTM,GRU_both,6,atlanta,0.6656274795532227,0.0015482902526855,286397152.0,374541158.43342406,106.75743865966795,4.596762180328369,970460864.0
GRU-LSTM,GRU_both,12,atlanta,0.6656274795532227,0.0015482902526855,276174752.0,385791233.8270826,101.88475799560548,4.313274383544922,949370368.0
GRU-LSTM,GRU_both,24,atlanta,0.6656274795532227,0.0015482902526855,338039296.0,392449880.56982434,121.61672973632812,9.50629997253418,794599808.0
SARIMA,SARIMA_raw,1,atlanta,7.4091956615448,0.0141594409942626,172292441.92160606,237332216.01125443,121.2154190608522,106.01152454833556,622129944.3116825
SARIMA,SARIMA_raw,6,atlanta,7.4091956615448,0.0141594409942626,170204666.80026686,236084487.76557192,128.1801516120862,110.8902354569309,622129944.3116825
SARIMA,SARIMA_raw,12,atlanta,7.4091956615448,0.0141594409942626,154761206.5915326,221892426.03994843,130.80925125164202,108.95391425734137,622129944.3116825
SARIMA,SARIMA_raw,24,atlanta,7.4091956615448,0.0141594409942626,162330069.45030013,219338476.0328264,145.58251905473142,108.87802490091312,559166051.74164
XGBoost,XGB_raw,1,atlanta,1.2244207859039309,0.0017774105072021,197041632.0,253671088.40939188,78.43485260009766,2.933065891265869,689053120.0
XGBoost,XGB_raw,6,atlanta,1.2120118141174316,0.001610517501831,274342976.0,335212507.9393424,93.34932708740234,4.815478801727295,845523136.0
XGBoost,XGB_raw,12,atlanta,1.1308925151824951,0.0013501644134521,272233504.0,326024138.63433224,101.49588775634766,5.774536609649658,807216384.0
XGBoost,XGB_raw,24,atlanta,1.1004023551940918,0.0013742446899414,324033184.0,388135442.6270045,119.5816879272461,9.2728853225708,813500864.0
NBEATS,NBEATS_raw,1,atlanta,2.289258003234864,0.2301163673400879,111060493.90323275,170843179.06902742,74.11625454731528,18.381423408682057,562781905.9200002
NBEATS,NBEATS_raw,6,atlanta,2.289258003234864,0.2301163673400879,137980632.8,176546711.71332458,75.96830984612731,1.98196793606808,468410407.68
NBEATS,NBEATS_raw,12,atlanta,2.289258003234864,0.2301163673400879,322516907.4758621,395771542.8914148,107.46179010846627,4.250335453027404,980644557.76
NBEATS,NBEATS_raw,24,atlanta,2.289258003234864,0.2301163673400879,234301103.2413793,296961618.2283443,102.47828201414885,6.591254369662522,778922600.3200002
NBEATS,NBEATS_mask_out,1,atlanta,3.290618658065796,0.2194969654083252,200922109.44827583,267175411.48599932,191.89483241284125,310.8911932456492,699830200.0000001
NBEATS,NBEATS_mask_out,6,atlanta,3.290618658065796,0.2194969654083252,227517181.08275864,336742260.95931417,104.73622844526378,56.11820138951019,1141726659.2000008
NBEATS,NBEATS_mask_out,12,atlanta,3.290618658065796,0.2194969654083252,196077014.53793105,265222669.3623664,188.90421937559543,292.5723333364217,642272000.0000001
NBEATS,NBEATS_mask_out,24,atlanta,3.290618658065796,0.2194969654083252,312484836.91034484,426418577.635077,114.87014557327444,31.19316738788285,1345959246.7200005
TiDE,TiDE_raw,1,atlanta,2.430537939071656,0.151658296585083,153434176.02758622,183324622.3562919,78.61452476448622,1.7040837332471632,451848296.96000016
TiDE,TiDE_raw,6,atlanta,2.430537939071656,0.151658296585083,168736128.33103448,207733540.1069204,81.89213793004355,2.5876944769976062,465664278.4
TiDE,TiDE_raw,12,atlanta,2.430537939071656,0.151658296585083,191628431.77931035,229092943.39825192,90.50415329945022,3.502442777993188,535403697.9200001
TiDE,TiDE_raw,24,atlanta,2.430537939071656,0.151658296585083,184638679.5586207,221346119.0604252,96.91897519441666,5.013200482917445,556459854.0800002
TiDE,TiDE_score_as_feature,1,atlanta,2.974599838256836,0.1898117065429687,118849467.03448276,155131150.9651413,64.69378849425895,1.0932767733909805,444944871.0400001
TiDE,TiDE_score_as_feature,6,atlanta,2.974599838256836,0.1898117065429687,169693431.6965517,210078285.80408093,80.31836869718146,2.678487687184475,530678261.7600001
TiDE,TiDE_score_as_feature,12,atlanta,2.974599838256836,0.1898117065429687,181752943.44827583,220878080.1573696,88.45148189309933,3.394693133235861,542761454.08
TiDE,TiDE_score_as_feature,24,atlanta,2.974599838256836,0.1898117065429687,188793635.58620688,225822122.06073937,97.20616978099584,5.196493066887516,488380677.12
TiDE,TiDE_mask_out,1,atlanta,1.9370408058166504,0.1516036987304687,171133198.51034483,199262865.0171795,82.44177815701829,1.976585663491712,445179646.4000002
TiDE,TiDE_mask_out,6,atlanta,1.9370408058166504,0.1516036987304687,172538863.88965517,211335158.668138,82.77569657787872,2.643854592115848,468654575.3600001
TiDE,TiDE_mask_out,12,atlanta,1.9370408058166504,0.1516036987304687,195181988.99310344,230572044.02023888,92.06537471575572,3.534219557068248,506506053.12000006
TiDE,TiDE_mask_out,24,atlanta,1.9370408058166504,0.1516036987304687,197596917.02068967,231531001.19458708,98.77358682531178,5.329522981265176,574041441.2800002
TiDE,TiDE_both,1,atlanta,2.408020496368408,0.1880364418029785,126657495.18620688,162393682.48521397,67.7823176424762,1.3592801571695186,428689726.0800002
TiDE,TiDE_both,6,atlanta,2.408020496368408,0.1880364418029785,167784656.66206896,207094254.2253548,80.59944378878305,2.664710759857444,504881208.32
TiDE,TiDE_both,12,atlanta,2.408020496368408,0.1880364418029785,188684594.75862068,226005868.5821576,90.04506631184722,3.487890296290596,538404106.56
TiDE,TiDE_both,24,atlanta,2.408020496368408,0.1880364418029785,185457763.8068965,220927267.4487984,96.6458179135851,5.187896409830806,437862498.88000005
GRU-LSTM,GRU_raw,1,batonrouge,0.944420576095581,0.0015351772308349,110181544.0,196783285.275801,44.67317581176758,0.3598720133304596,791536832.0
GRU-LSTM,GRU_raw,6,batonrouge,0.944420576095581,0.0015351772308349,128664960.0,235298490.7212179,53.11514663696289,0.562248706817627,1011603264.0
GRU-LSTM,GRU_raw,12,batonrouge,0.944420576095581,0.0015351772308349,120427872.0,229196838.86693293,56.611419677734375,0.93754780292511,1013814208.0
GRU-LSTM,GRU_raw,24,batonrouge,0.944420576095581,0.0015351772308349,153510240.0,251170129.30236685,82.51763916015625,5.2361907958984375,1007953088.0
GRU-LSTM,GRU_mask_out,1,batonrouge,1.0015277862548828,0.0015547275543212,125514248.0,229698397.79375947,50.35053634643555,0.4974490702152252,1004824832.0
GRU-LSTM,GRU_mask_out,6,batonrouge,1.0015277862548828,0.0015547275543212,112794496.0,222758579.9992745,48.9066047668457,0.510662853717804,1010289280.0
GRU-LSTM,GRU_mask_out,12,batonrouge,1.0015277862548828,0.0015547275543212,138473984.0,240411453.47101945,62.3889045715332,1.0330959558486938,1012160064.0
GRU-LSTM,GRU_mask_out,24,batonrouge,1.0015277862548828,0.0015547275543212,171289120.0,258554371.07764325,88.26739501953125,5.393525123596191,997904768.0
GRU-LSTM,GRU_score_as_feature,1,batonrouge,0.5632972717285156,0.0015709400177001,130202288.0,230167955.46903104,52.74464416503906,0.5475713014602661,960452736.0
GRU-LSTM,GRU_score_as_feature,6,batonrouge,0.5632972717285156,0.0015709400177001,117775392.0,223694999.4633732,51.34518051147461,0.5192844867706299,988048832.0
GRU-LSTM,GRU_score_as_feature,12,batonrouge,0.5632972717285156,0.0015709400177001,127158944.0,228310371.5882573,59.42109680175781,0.9960477948188782,980014208.0
GRU-LSTM,GRU_score_as_feature,24,batonrouge,0.5632972717285156,0.0015709400177001,160118944.0,259724352.2873949,82.44047546386719,5.415557384490967,993738176.0
GRU-LSTM,GRU_both,1,batonrouge,0.595409631729126,0.0015945434570312,127597408.0,228502351.6552623,52.831031799316406,0.5500202775001526,975407808.0
GRU-LSTM,GRU_both,6,batonrouge,0.595409631729126,0.0015945434570312,117352040.0,222825811.70094004,51.18714141845703,0.5109489560127258,984369664.0
GRU-LSTM,GRU_both,12,batonrouge,0.595409631729126,0.0015945434570312,122748672.0,224870881.67117813,57.54936981201172,0.9702677726745604,971804544.0
GRU-LSTM,GRU_both,24,batonrouge,0.595409631729126,0.0015945434570312,149791664.0,247696274.9308168,80.75654602050781,5.311124324798584,998021760.0
SARIMA,SARIMA_raw,1,batonrouge,4.639935731887817,0.0151920318603515,184705520.8470817,292618520.8259327,130.89220633265967,59.538120392284746,1131632604.766523
SARIMA,SARIMA_raw,6,batonrouge,4.639935731887817,0.0151920318603515,175544622.18801883,287467535.9250474,133.75040690642695,72.57936132575514,1131632604.766523
SARIMA,SARIMA_raw,12,batonrouge,4.639935731887817,0.0151920318603515,172082418.56179634,286646888.9947406,138.99616168059515,74.67337122207815,1131632604.766523
SARIMA,SARIMA_raw,24,batonrouge,4.639935731887817,0.0151920318603515,161961311.4364835,283783767.46373254,152.51043020935455,97.14847220991344,1131632604.766523
XGBoost,XGB_raw,1,batonrouge,1.2299749851226809,0.0017404556274414,106677688.0,184005219.5770172,42.44754409790039,0.3463042080402374,681563008.0
XGBoost,XGB_raw,6,batonrouge,1.1873226165771484,0.0020239353179931,205470432.0,364462282.9125981,68.66571044921875,0.990748405456543,1134887040.0
XGBoost,XGB_raw,12,batonrouge,1.296234369277954,0.0019881725311279,158047376.0,273937250.21636695,65.58991241455078,1.0872408151626587,992510656.0
XGBoost,XGB_raw,24,batonrouge,1.13515043258667,0.0015902519226074,194015840.0,375931005.316693,87.37167358398438,5.7378339767456055,1229436416.0
NBEATS,NBEATS_raw,1,batonrouge,3.464850187301636,0.2438764572143554,90538097.74482758,139033682.46731952,50.511683666914266,0.471316877888309,510313676.16
NBEATS,NBEATS_raw,6,batonrouge,3.464850187301636,0.2438764572143554,198462859.03793105,287363115.51127946,173.54604704106558,271.6192073537512,1063540200.0000004
NBEATS,NBEATS_raw,12,batonrouge,3.464850187301636,0.2438764572143554,161206277.6724138,248262655.80184537,91.47328646675294,31.39479513993784,937219550.4000005
NBEATS,NBEATS_raw,24,batonrouge,3.464850187301636,0.2438764572143554,215369368.53879312,301305533.35300905,133.40350899145054,109.52092633253328,1018895689.0800006
NBEATS,NBEATS_mask_out,1,batonrouge,1.850859880447388,0.2197179794311523,119707312.23168103,161407720.97193038,100.8761135655319,68.77006360410118,519422652.4800001
NBEATS,NBEATS_mask_out,6,batonrouge,1.850859880447388,0.2197179794311523,190331491.70409483,283614339.17759645,131.9319503038589,126.28924511565664,1063540200.0000004
NBEATS,NBEATS_mask_out,12,batonrouge,1.850859880447388,0.2197179794311523,190837811.9775862,285148814.30277604,149.40785019567758,177.61425916086395,1063540200.0000004
NBEATS,NBEATS_mask_out,24,batonrouge,1.850859880447388,0.2197179794311523,231433012.5834052,339809543.4885334,164.44792903231885,211.32127432724403,1162890770.24
TiDE,TiDE_raw,1,batonrouge,1.500890016555786,0.8877933025360107,135356677.59655172,214340786.31680372,59.548386147141294,0.7375921604160838,831940717.4400003
TiDE,TiDE_raw,6,batonrouge,1.500890016555786,0.8877933025360107,166508248.93793103,252389696.712228,71.31562632899593,10.0472159395281,955324244.1600004
TiDE,TiDE_raw,12,batonrouge,1.500890016555786,0.8877933025360107,170531850.3586207,265782935.6069991,72.60977691647813,12.04539572575126,1063540200.0000004
TiDE,TiDE_raw,24,batonrouge,1.500890016555786,0.8877933025360107,190654486.6896552,264254635.8338541,91.970678150147,8.197793862154521,994098516.1600006
TiDE,TiDE_score_as_feature,1,batonrouge,4.114511013031006,0.2742152214050293,124892604.07586206,197947106.5870539,69.23832296611127,17.034809694622453,769711409.2800002
TiDE,TiDE_score_as_feature,6,batonrouge,4.114511013031006,0.2742152214050293,161781628.3698276,254475238.1965228,83.69262721584329,8.609508112631922,986425120.9600006
TiDE,TiDE_score_as_feature,12,batonrouge,4.114511013031006,0.2742152214050293,194691902.3282328,287127834.4429899,99.5327497289749,29.278106079786955,1020318788.8000004
TiDE,TiDE_score_as_feature,24,batonrouge,4.114511013031006,0.2742152214050293,187569471.44827583,264385607.48402584,107.31156512797682,27.78700027013273,935845045.4400004
TiDE,TiDE_mask_out,1,batonrouge,3.2725272178649902,0.2015426158905029,175271581.31724137,245142130.38725403,81.1705612380054,13.88910292341184,842477017.2800004
TiDE,TiDE_mask_out,6,batonrouge,3.2725272178649902,0.2015426158905029,157991812.0551724,245369546.34940776,82.17790727443213,10.474824474805528,960447766.7200004
TiDE,TiDE_mask_out,12,batonrouge,3.2725272178649902,0.2015426158905029,161842746.13189656,245590210.69347924,86.96977776744208,18.501133325950544,978423963.8400004
TiDE,TiDE_mask_out,24,batonrouge,3.2725272178649902,0.2015426158905029,174184934.53103447,248290179.25097588,86.83905549204611,8.630742686853635,934796745.9200006
TiDE,TiDE_both,1,batonrouge,2.5368359088897705,0.3144593238830566,126315670.9275862,194644899.2742854,56.51505335131838,0.5974537155589327,742098031.6800003
TiDE,TiDE_both,6,batonrouge,2.5368359088897705,0.3144593238830566,161729641.89051723,250441919.934063,82.32839412714202,3.7840084699847294,965883107.5200006
TiDE,TiDE_both,12,batonrouge,2.5368359088897705,0.3144593238830566,200727564.54224136,279559822.5529365,86.76923541314864,8.643718545131556,916210009.2800004
TiDE,TiDE_both,24,batonrouge,2.5368359088897705,0.3144593238830566,186589439.66206896,253829192.31270045,93.52116255229306,12.926824868386284,833678870.7200005
GRU-LSTM,GRU_raw,1,boston,1.230696201324463,0.0034937858581542,16290655.0,26147150.86117522,97.81402587890624,1.7519227266311646,80088584.0
GRU-LSTM,GRU_raw,6,boston,1.230696201324463,0.0034937858581542,22938478.0,28482081.97592753,127.89875030517578,3.5907137393951416,78838840.0
GRU-LSTM,GRU_raw,12,boston,1.230696201324463,0.0034937858581542,24433704.0,31611104.43665061,121.52442932128906,3.3020174503326416,79621312.0
GRU-LSTM,GRU_raw,24,boston,1.230696201324463,0.0034937858581542,18417392.0,25301665.374234952,120.74562072753906,8.64883041381836,73705824.0
GRU-LSTM,GRU_mask_out,1,boston,0.8640706539154053,0.0048379898071289,28539308.0,37094774.475404486,128.01544189453125,4.310047626495361,90026264.0
GRU-LSTM,GRU_mask_out,6,boston,0.8640706539154053,0.0048379898071289,21630314.0,29199651.72093448,123.6399917602539,3.9065678119659424,77558360.0
GRU-LSTM,GRU_mask_out,12,boston,0.8640706539154053,0.0048379898071289,12721577.0,16800325.084671903,104.36664581298828,10.884764671325684,36678160.0
GRU-LSTM,GRU_mask_out,24,boston,0.8640706539154053,0.0048379898071289,10822360.0,14673719.771976566,104.82157135009766,15.448269844055176,35319920.0
GRU-LSTM,GRU_score_as_feature,1,boston,1.2544643878936768,0.0049715042114257,15880335.0,23282761.477299724,104.23231506347656,2.0852386951446533,70720888.0
GRU-LSTM,GRU_score_as_feature,6,boston,1.2544643878936768,0.0049715042114257,20187936.0,26656948.001850776,120.4864730834961,3.0922553539276123,77362736.0
GRU-LSTM,GRU_score_as_feature,12,boston,1.2544643878936768,0.0049715042114257,19982598.0,25311860.278633334,123.13279724121094,3.1685922145843506,70337120.0
GRU-LSTM,GRU_score_as_feature,24,boston,1.2544643878936768,0.0049715042114257,18783484.0,25684832.11049385,124.42377471923828,4.48966646194458,73385152.0
GRU-LSTM,GRU_both,1,boston,1.1476318836212158,0.0042402744293212,21203566.0,30828512.911962003,107.9417953491211,3.226975917816162,78258984.0
GRU-LSTM,GRU_both,6,boston,1.1476318836212158,0.0042402744293212,24642268.0,31968010.765836027,130.47366333007812,4.528497695922852,82259064.0
GRU-LSTM,GRU_both,12,boston,1.1476318836212158,0.0042402744293212,14191879.0,17704125.974109426,110.26598358154295,2.799168586730957,47335620.0
GRU-LSTM,GRU_both,24,boston,1.1476318836212158,0.0042402744293212,12289668.0,16088894.565028636,107.25910949707033,3.8164350986480713,39117120.0
SARIMA,SARIMA_raw,1,boston,1.324749231338501,0.0148408412933349,18762805.35398235,25489311.24546345,113.76067492588548,2.530634424091468,70300885.87343109
SARIMA,SARIMA_raw,6,boston,1.324749231338501,0.0148408412933349,18686410.92094414,25423825.5142926,115.26464168739,2.6157925249508813,70300885.87343109
