model,experiment,horizon,router,train_time_sec,inference_time_sec,MAE,RMSE,sMAPE,MSLE,P99_abs_error
GRU-LSTM,GRU_raw,1,atlanta,8.890530824661255,0.0014638900756835,233267200.0,292559178.2509424,97.64862060546876,25.663307189941406,702372288.0
GRU-LSTM,GRU_raw,6,atlanta,8.890530824661255,0.0014638900756835,279621856.0,346442400.8413374,102.53297424316406,23.79401588439941,743473344.0
GRU-LSTM,GRU_raw,12,atlanta,8.890530824661255,0.0014638900756835,282159040.0,368234274.9140725,98.99494934082033,13.180564880371094,940612288.0
GRU-LSTM,GRU_raw,24,atlanta,8.890530824661255,0.0014638900756835,294543296.0,411294621.3451327,124.46641540527344,19.25314712524414,1292120704.0
GRU-LSTM,GRU_mask_out,1,atlanta,9.134562492370604,0.0014729499816894,227326032.0,280834323.9719193,97.7081527709961,34.04338073730469,577808384.0
GRU-LSTM,GRU_mask_out,6,atlanta,9.134562492370604,0.0014729499816894,384055104.0,471819876.76146346,107.26019287109376,5.45318078994751,1135168896.0
GRU-LSTM,GRU_mask_out,12,atlanta,9.134562492370604,0.0014729499816894,313791616.0,413724880.25292015,101.6615982055664,8.886493682861328,962315456.0
GRU-LSTM,GRU_mask_out,24,atlanta,9.134562492370604,0.0014729499816894,269183744.0,368841917.9148699,119.4737548828125,18.611801147460938,1169953664.0
GRU-LSTM,GRU_score_as_feature,1,atlanta,8.791728973388672,0.0015599727630615,192816768.0,246742213.1832097,82.1017837524414,2.6360955238342285,710609792.0
GRU-LSTM,GRU_score_as_feature,6,atlanta,8.791728973388672,0.0015599727630615,293108000.0,414843066.358252,99.86174011230467,12.295992851257324,1158840576.0
GRU-LSTM,GRU_score_as_feature,12,atlanta,8.791728973388672,0.0015599727630615,292572832.0,411939048.7776535,100.1546859741211,7.653373718261719,1052211648.0
GRU-LSTM,GRU_score_as_feature,24,atlanta,8.791728973388672,0.0015599727630615,397631008.0,491916656.0604468,124.60511016845705,9.59641933441162,1145578752.0
GRU-LSTM,GRU_both,1,atlanta,9.1588876247406,0.0014805793762207,274862720.0,343898360.0189197,89.09098815917969,3.733832597732544,696689408.0
GRU-LSTM,GRU_both,6,atlanta,9.1588876247406,0.0014805793762207,279796256.0,405643424.7231138,96.5758056640625,18.764760971069336,1327497472.0
GRU-LSTM,GRU_both,12,atlanta,9.1588876247406,0.0014805793762207,312156992.0,406023188.04964304,112.81452178955078,19.518892288208008,879169088.0
GRU-LSTM,GRU_both,24,atlanta,9.1588876247406,0.0014805793762207,416574304.0,537831332.9402504,128.08285522460938,12.873912811279297,1242576128.0
SARIMA,SARIMA_raw,1,atlanta,7.127436876296997,0.0143406391143798,172292441.92160606,237332216.01125443,121.2154190608522,106.01152454833556,622129944.3116825
SARIMA,SARIMA_raw,6,atlanta,7.127436876296997,0.0143406391143798,170204666.80026686,236084487.76557192,128.1801516120862,110.8902354569309,622129944.3116825
SARIMA,SARIMA_raw,12,atlanta,7.127436876296997,0.0143406391143798,154761206.5915326,221892426.03994843,130.80925125164202,108.95391425734137,622129944.3116825
SARIMA,SARIMA_raw,24,atlanta,7.127436876296997,0.0143406391143798,162330069.45030013,219338476.0328264,145.58251905473142,108.87802490091312,559166051.74164
XGBoost,XGB_raw,1,atlanta,1.3021655082702637,0.0018327236175537,197041632.0,253671088.40939188,78.43485260009766,2.933065891265869,689053120.0
XGBoost,XGB_raw,6,atlanta,1.2098891735076904,0.0017993450164794,274342976.0,335212507.9393424,93.34932708740234,4.815478801727295,845523136.0
XGBoost,XGB_raw,12,atlanta,1.2236285209655762,0.0019001960754394,272233504.0,326024138.63433224,101.49588775634766,5.774536609649658,807216384.0
XGBoost,XGB_raw,24,atlanta,1.1966750621795654,0.0018496513366699,324033184.0,388135442.6270045,119.5816879272461,9.2728853225708,813500864.0
